,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
191,1588,150000,50,RL,60.0,7200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,6,1955,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,GLQ,768.0,Unf,768.0,398.0,768.0,GasA,Gd,Y,SBrkr,1024,564,0,0,0,1,1,3,1,TA,6,Typ,0,0,Detchd,1955,Unf,2,480.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,3,2008,WD ,Normal
192,930,99000,20,RL,68.0,9520,Pave,None,Reg,Bnk,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,4,5,1953,1953,Gable,CompShg,MetalSd,MetalSd,Stone,115.0,TA,TA,CBlock,Gd,TA,No,Rec,911.0,Unf,911.0,144.0,911.0,GasA,TA,Y,SBrkr,930,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Attchd,1953,RFn,1,286.0,TA,TA,Y,134,0,0,0,0,0,No,MnPrv,Gar2,3000,5,2008,WD ,Normal
193,1069,146300,120,RL,53.0,4043,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1975,1975,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,1069.0,BLQ,1069.0,186.0,1069.0,GasA,Gd,Y,SBrkr,1069,0,0,0,1,2,0,2,1,TA,4,Typ,1,Po,Attchd,1975,RFn,2,440.0,TA,TA,Y,0,55,0,0,225,0,No,No,No,0,7,2006,WD ,Normal
194,2104,155000,75,RM,70.0,6300,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Unf,7,6,1910,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,1226.0,Unf,1226.0,1226.0,1226.0,GasA,Ex,Y,SBrkr,1226,878,0,0,0,2,0,5,1,TA,9,Typ,0,0,Detchd,1910,Unf,2,432.0,Fa,TA,P,0,341,88,0,0,0,No,No,No,0,7,2006,WD ,Normal
195,1728,298751,20,RL,79.0,11449,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1884.0,Unf,1884.0,873.0,1884.0,GasA,Ex,Y,SBrkr,1728,0,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,Fin,2,520.0,TA,TA,Y,0,276,0,0,0,0,No,No,No,0,1,2008,WD ,Normal
196,1663,256000,20,RL,,53227,Pave,None,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,1364.0,Unf,1364.0,248.0,1364.0,GasA,Ex,Y,SBrkr,1663,0,0,1,0,1,0,2,1,Gd,6,Min1,2,Gd,Attchd,1954,Fin,2,529.0,TA,TA,Y,224,137,0,0,0,0,No,No,No,0,3,2008,WD ,Normal
197,1137,176000,20,RL,54.0,13811,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,6,1987,1987,Gable,CompShg,HdBoard,HdBoard,BrkFace,72.0,TA,TA,CBlock,Gd,Gd,No,GLQ,1112.0,LwQ,1112.0,92.0,1112.0,GasA,Gd,Y,SBrkr,1137,0,0,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1987,Unf,2,551.0,TA,TA,Y,125,0,0,0,0,0,No,No,No,0,7,2006,WD ,Normal
198,1217,120000,160,RL,75.0,10762,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,626.0,Unf,626.0,626.0,626.0,GasA,TA,Y,SBrkr,626,591,0,0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1980,RFn,1,288.0,TA,TA,Y,0,28,0,0,0,0,No,No,No,0,4,2009,WD ,Normal
199,2494,321000,60,RL,,10236,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,501.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1290.0,BLQ,1290.0,742.0,1290.0,GasA,Ex,Y,SBrkr,1305,1189,0,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1994,Fin,3,803.0,TA,TA,Y,200,95,0,0,0,0,No,GdPrv,No,0,6,2006,WD ,Normal
200,1680,190000,160,FV,39.0,3515,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,840.0,Unf,840.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,840,0,0,0,2,1,2,1,Gd,3,Typ,0,0,Attchd,2004,RFn,2,588.0,TA,TA,Y,0,111,0,0,0,0,No,No,No,0,1,2010,WD ,Normal
201,1165,174900,80,RL,82.0,9020,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,183.0,TA,TA,CBlock,TA,TA,Gd,Rec,1127.0,ALQ,1127.0,276.0,1127.0,GasA,TA,Y,SBrkr,1165,0,0,1,0,1,1,3,1,TA,6,Typ,0,0,Attchd,1966,RFn,2,490.0,Gd,Gd,Y,0,129,0,0,0,0,No,GdPrv,No,0,5,2008,WD ,Normal
202,641,85000,30,RM,50.0,7030,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,6,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,641.0,Unf,641.0,641.0,641.0,GasA,Gd,Y,SBrkr,641,0,0,0,0,1,0,2,1,Fa,4,Typ,0,0,Detchd,1925,Unf,1,272.0,TA,TA,N,184,0,70,0,0,0,No,MnPrv,No,0,3,2006,WD ,Normal
203,1310,164990,20,RL,65.0,8767,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1310.0,Unf,1310.0,1286.0,1310.0,GasA,Ex,Y,SBrkr,1310,0,0,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2005,Fin,2,400.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,7,2006,New,Partial
204,1650,144100,50,RM,56.0,8398,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1910,1990,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,Gd,Gd,No,BLQ,926.0,Unf,926.0,667.0,926.0,GasA,TA,Y,SBrkr,991,659,0,0,0,2,0,3,1,TA,6,Typ,0,0,Detchd,1979,Unf,2,468.0,TA,TA,N,128,103,0,0,0,0,No,No,No,0,11,2007,WD ,Normal
205,1590,294900,20,RL,78.0,11645,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,198.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1570.0,Unf,1570.0,448.0,1570.0,GasA,Ex,Y,SBrkr,1590,0,0,1,0,2,1,2,1,Ex,6,Typ,0,0,Attchd,2005,Fin,3,754.0,TA,TA,Y,176,80,0,0,0,0,No,No,No,0,8,2006,New,Partial
206,1484,50000,50,RM,60.0,10320,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,4,1,1910,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,771.0,Unf,771.0,771.0,771.0,GasA,Fa,Y,SBrkr,866,504,114,0,0,2,0,3,1,TA,6,Sal,0,0,Detchd,1910,Unf,1,264.0,TA,Fa,N,14,211,0,0,84,0,No,No,No,0,9,2007,COD,Abnorml
207,2353,260000,60,RL,94.0,13005,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1980,1980,Gable,CompShg,CemntBd,CmentBd,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,845.0,Unf,845.0,153.0,845.0,GasA,TA,Y,SBrkr,1153,1200,0,1,0,2,1,4,1,Ex,10,Typ,1,TA,Attchd,1983,RFn,2,484.0,TA,TA,Y,288,195,0,0,0,0,No,GdPrv,No,0,8,2009,WD ,Normal
208,1337,180000,120,RL,41.0,5395,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1337.0,Unf,1337.0,604.0,1337.0,GasA,Gd,Y,SBrkr,1337,0,0,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1993,RFn,2,462.0,TA,TA,Y,96,0,70,168,0,0,No,No,No,0,10,2008,WD ,Normal
209,1898,236500,20,RL,56.0,26073,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,1898.0,Unf,1898.0,782.0,1898.0,GasA,Ex,Y,FuseA,1898,0,0,0,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1956,Unf,2,484.0,TA,TA,Y,0,51,224,0,0,0,No,MnPrv,No,0,4,2008,WD ,Normal
210,660,63900,20,RL,,9000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Slab,0,0,No,0,0.0,0,0.0,0.0,0.0,GasA,Fa,N,SBrkr,660,0,0,0,0,1,0,2,1,Fa,5,Min2,0,0,No,0,0,0,0.0,0,No,N,0,0,100,0,0,0,No,No,No,0,6,2009,WD ,Normal
211,1789,223000,60,FV,79.0,10646,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,513.0,TA,TA,PConc,TA,TA,No,GLQ,858.0,Unf,858.0,177.0,858.0,GasA,Ex,Y,SBrkr,872,917,0,1,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,2001,Fin,2,546.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,6,2008,WD ,Normal
212,1200,151000,160,FV,30.0,3180,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2005,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,600.0,Unf,600.0,600.0,600.0,GasA,Ex,Y,SBrkr,520,600,80,0,0,2,1,2,1,Gd,4,Typ,0,0,Detchd,2005,RFn,2,480.0,TA,TA,Y,0,166,0,0,0,0,No,No,No,0,6,2006,WD ,Normal
213,1505,149500,20,RL,128.0,12160,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,4,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,90.0,TA,TA,CBlock,TA,TA,No,BLQ,1505.0,Unf,1505.0,481.0,1505.0,GasA,Ex,Y,SBrkr,1505,0,0,1,0,1,0,2,1,TA,6,Typ,1,TA,Attchd,1953,RFn,2,505.0,TA,TA,Y,0,0,0,162,0,0,No,No,No,0,2,2009,WD ,Normal
214,1609,149900,50,RL,75.0,9525,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,5,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,1000.0,Unf,1000.0,532.0,1000.0,GasA,TA,Y,SBrkr,1068,541,0,0,0,1,1,5,1,TA,7,Typ,0,0,Attchd,1953,Unf,1,305.0,Fa,TA,Y,0,0,0,0,0,0,No,No,No,0,7,2006,WD ,Normal
215,2696,500000,20,RL,110.0,14300,Pave,None,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,2846.0,Unf,2846.0,1473.0,2846.0,GasA,Ex,Y,SBrkr,2696,0,0,1,0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003,Fin,3,958.0,TA,TA,Y,220,150,0,0,0,0,No,No,No,0,6,2010,WD ,Normal
216,1040,92900,90,RL,60.0,8544,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1950,1950,Gable,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,Slab,0,0,No,0,0.0,0,0.0,0.0,0.0,Wall,Fa,N,FuseA,1040,0,0,0,0,2,0,2,2,TA,6,Typ,0,0,Detchd,1987,Unf,2,400.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,6,2009,WD ,Normal
217,1419,290000,120,FV,42.0,4385,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,9,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1419.0,Unf,1419.0,455.0,1419.0,GasA,Ex,Y,SBrkr,1419,0,0,1,0,1,1,2,1,Ex,5,Typ,1,TA,Attchd,2001,Fin,2,588.0,TA,TA,Y,155,58,0,0,0,0,No,No,No,0,9,2008,WD ,Normal
218,2122,345474,20,RL,110.0,14333,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,2108.0,Unf,2108.0,590.0,2108.0,GasA,Ex,Y,SBrkr,2122,0,0,1,0,2,1,2,1,Gd,7,Typ,1,Ex,Attchd,2007,Fin,3,938.0,TA,TA,Y,130,142,0,0,0,0,No,No,No,0,11,2007,New,Partial
219,925,127000,20,RL,71.0,8540,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,8,1956,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,925.0,ALQ,925.0,120.0,925.0,GasA,TA,Y,SBrkr,925,0,0,1,0,1,0,3,1,Gd,5,Typ,0,0,Detchd,1956,Unf,1,252.0,TA,TA,Y,152,0,0,0,0,0,No,No,No,0,6,2007,WD ,Normal
220,1522,102000,50,RL,60.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1926,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,1008.0,Unf,1008.0,1008.0,1008.0,GasA,Ex,Y,SBrkr,1008,0,514,0,0,2,0,4,1,TA,7,Typ,0,0,No,0,0,0,0.0,0,No,P,0,0,138,0,0,0,No,No,No,0,6,2006,WD ,Normal
221,1969,190000,60,RL,92.0,11952,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,WdShake,WdShing,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,808.0,Unf,808.0,808.0,808.0,GasA,TA,Y,SBrkr,1161,808,0,0,0,2,1,3,1,TA,8,Typ,1,Gd,Attchd,1977,RFn,2,534.0,TA,TA,Y,0,0,0,0,276,0,No,No,No,0,11,2007,WD ,Normal
222,816,75200,30,RM,46.0,3672,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1Story,5,7,1922,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,816.0,Unf,816.0,816.0,816.0,GasA,Ex,Y,SBrkr,816,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1922,Unf,1,100.0,Fa,Fa,N,0,0,96,0,0,0,No,No,No,0,9,2007,WD ,Normal
223,1206,108538,20,RL,87.0,10725,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,91.0,TA,TA,CBlock,TA,TA,No,Rec,1206.0,Unf,1206.0,270.0,1206.0,GasA,Fa,Y,SBrkr,1206,0,0,0,0,1,0,3,1,TA,6,Typ,0,0,Attchd,1959,RFn,1,312.0,TA,TA,Y,0,21,0,0,0,0,No,No,No,0,5,2010,WD ,Normal
224,1232,142250,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,Rec,1232.0,Unf,1232.0,534.0,1232.0,GasA,TA,Y,SBrkr,1232,0,0,1,0,1,1,3,1,TA,6,Typ,0,0,Attchd,1966,RFn,2,490.0,TA,TA,Y,0,224,0,0,0,0,No,No,No,0,4,2010,WD ,Normal
225,1339,180000,20,RL,50.0,8049,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,1990,1990,Hip,CompShg,HdBoard,HdBoard,BrkFace,54.0,TA,TA,CBlock,Gd,TA,No,ALQ,1309.0,Unf,1309.0,256.0,1309.0,GasA,TA,Y,SBrkr,1339,0,0,1,0,2,0,2,1,TA,6,Typ,1,TA,Attchd,1990,Fin,2,484.0,Gd,Gd,Y,0,58,0,0,90,0,No,No,No,0,7,2006,WD ,Normal
226,972,132000,20,RL,50.0,8000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,972.0,Unf,972.0,292.0,972.0,GasA,Ex,Y,SBrkr,972,0,0,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948,Unf,1,240.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,5,2009,WD ,Normal
227,1350,152400,50,RL,63.0,8375,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,7,1941,1973,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,576.0,Unf,576.0,240.0,576.0,GasA,Gd,Y,SBrkr,864,486,0,1,0,1,1,2,1,Gd,6,Min1,0,0,2Types,1973,Unf,3,627.0,TA,TA,N,0,0,0,0,0,0,No,MnPrv,No,0,6,2008,WD ,Normal
228,670,64000,50,RL,51.0,3500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,3,5,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,370.0,Unf,370.0,226.0,370.0,GasA,TA,N,FuseA,442,228,0,1,0,1,0,2,1,Fa,4,Typ,0,0,No,0,0,0,0.0,0,No,N,0,21,0,0,0,0,No,MnPrv,Shed,2000,7,2007,WD ,Normal
229,2810,302000,60,RL,,9572,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1990,1990,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,336.0,Gd,TA,PConc,Ex,TA,No,GLQ,1453.0,Unf,1453.0,971.0,1453.0,GasA,Ex,Y,SBrkr,1453,1357,0,0,0,2,1,4,1,Gd,9,Typ,1,Ex,Attchd,1990,RFn,2,750.0,Gd,Gd,Y,500,0,0,0,0,0,No,No,No,0,6,2007,WD ,Normal
230,1522,182000,20,RL,,11075,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,5,1984,1984,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,136.0,TA,TA,PConc,Gd,TA,No,BLQ,1190.0,LwQ,1190.0,0.0,1190.0,GasA,Ex,Y,SBrkr,1522,0,0,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1984,Fin,2,552.0,TA,TA,Y,0,77,0,0,168,0,No,GdPrv,No,0,2,2007,WD ,Normal
231,860,137000,85,RL,74.0,8740,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,6,1982,1982,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,840.0,Unf,840.0,168.0,840.0,GasA,TA,Y,SBrkr,860,0,0,1,0,1,0,2,1,TA,4,Typ,0,0,Detchd,1996,Unf,2,528.0,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,7,2009,WD ,Normal
232,1642,168000,60,RL,,7655,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,903.0,Unf,903.0,903.0,903.0,GasA,Gd,Y,SBrkr,910,732,0,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,RFn,2,392.0,TA,TA,Y,290,84,0,0,0,0,No,No,No,0,7,2007,WD ,Normal
233,1458,97500,50,RL,78.0,17503,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,912.0,Unf,912.0,912.0,912.0,GasA,TA,Y,SBrkr,912,546,0,0,1,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1948,Unf,1,330.0,TA,TA,Y,192,0,0,0,0,0,No,No,No,0,1,2010,WD ,Abnorml
234,1976,286000,60,RL,84.0,9660,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,242.0,Gd,TA,PConc,Gd,TA,No,GLQ,1044.0,Unf,1044.0,253.0,1044.0,GasA,Ex,Y,SBrkr,1079,897,0,1,0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,1998,Fin,3,885.0,TA,TA,Y,210,31,0,0,0,0,No,No,No,0,2,2006,WD ,Normal
235,995,115000,30,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,960.0,Unf,960.0,960.0,960.0,GasA,Gd,Y,SBrkr,995,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1926,Unf,1,264.0,TA,TA,Y,0,15,51,0,0,0,No,MnPrv,No,0,3,2009,WD ,Abnorml
236,2559,209000,60,RL,88.0,12128,Pave,None,IR1,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,4,1989,1989,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,Gd,TA,CBlock,Gd,TA,No,ALQ,868.0,Unf,868.0,319.0,868.0,GasA,Ex,Y,SBrkr,1313,1246,0,0,0,2,1,4,1,Ex,9,Typ,1,TA,Attchd,1989,RFn,2,506.0,TA,TA,Y,0,245,0,0,168,0,No,MnPrv,No,0,11,2006,WD ,Abnorml
237,2087,187500,60,RL,,12205,Pave,None,IR1,Low,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,8,1966,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,157.0,TA,TA,CBlock,TA,Fa,Gd,LwQ,832.0,Unf,832.0,264.0,832.0,GasA,Gd,Y,SBrkr,976,1111,0,0,0,2,1,5,1,Gd,9,Typ,0,0,Attchd,1966,Fin,2,444.0,TA,TA,Y,133,168,0,0,0,0,No,No,No,0,7,2007,WD ,Normal
238,1958,220000,60,RL,75.0,9317,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,779.0,Unf,779.0,282.0,779.0,GasA,Ex,Y,SBrkr,1029,929,0,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1994,RFn,2,499.0,TA,TA,Y,202,93,0,0,0,0,No,No,No,0,7,2007,CWD,Normal
239,790,91000,30,RL,52.0,6292,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,5,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,768.0,Unf,768.0,384.0,768.0,GasA,TA,N,SBrkr,790,0,0,0,0,1,0,2,1,TA,4,Typ,0,0,Detchd,1930.0,Unf,1,160.0,Fa,TA,Y,0,141,0,0,0,0,No,No,No,0,4,2008,WD ,Normal
240,974,93500,20,RL,63.0,10712,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1991,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Mn,BLQ,974.0,Unf,974.0,762.0,974.0,GasA,TA,Y,SBrkr,974,0,0,0,0,1,0,3,1,TA,5,Typ,0,0,No,0,0,0,0.0,0,No,Y,0,28,0,0,0,0,No,MnPrv,No,0,9,2007,Oth,Abnorml
