GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleType,BsmtNumBath,TotalNumBath
2643,380000,60,RL,105.0,13693,Pave,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,772.0,5,3,PConc,4,3,3,1,0.0,1,2153.0,2153.0,GasA,5,Y,5,2069,574,3,1,5,9,8,1,4,BuiltIn,2006.0,3,3.0,694.0,3,3,3,414,84,0,3,2007,WD ,0.0,2.5
1043,137000,20,RL,68.0,9724,Pave,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1947,1950,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,938.0,938.0,GasA,5,Y,5,1043,0,2,1,3,5,8,1,4,Detchd,1947.0,1,1.0,273.0,3,3,3,125,48,2,5,2006,WD ,0.0,1.0
810,130000,85,RL,72.0,10820,Pave,4,Lvl,4,Corner,3,Sawyer,Feedr,Norm,1Fam,SFoyer,5,7,1971,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,3,3,PConc,4,3,3,6,535.0,3,88.0,782.0,GasA,5,Y,5,810,0,2,1,3,4,8,0,0,Detchd,1973.0,1,2.0,576.0,3,3,3,0,0,3,6,2006,WD ,1.0,1.0
1961,215000,60,RL,71.0,12209,Pave,3,Lvl,4,CulDSac,3,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,1,5,690.0,1,114.0,804.0,GasA,5,Y,5,804,1157,3,1,4,7,8,1,3,BuiltIn,2001.0,3,2.0,560.0,3,3,3,125,192,0,6,2009,WD ,1.0,2.5
1118,153000,20,RL,75.0,11332,Pave,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,528.0,1,590.0,1118.0,GasA,5,Y,5,1118,0,3,1,4,6,8,0,0,Attchd,1960.0,2,1.0,264.0,3,3,3,290,0,3,8,2008,WD ,1.0,1.0
1842,385000,20,RL,68.0,50271,Pave,3,Low,4,Inside,3,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,4,6,1810.0,1,32.0,1842.0,GasA,4,Y,5,1842,0,0,1,4,5,8,1,4,Attchd,1981.0,3,3.0,894.0,3,3,3,857,72,0,11,2006,WD ,2.0,0.5
1709,130000,160,RM,24.0,2522,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,Twnhs,2Story,6,5,2004,2006,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,1,1,0.0,1,970.0,970.0,GasA,5,Y,5,970,739,3,1,4,7,4,0,0,Detchd,2004.0,1,2.0,380.0,3,3,3,0,40,0,4,2006,WD ,0.0,2.0
1252,127000,50,RL,92.0,7438,Pave,3,Lvl,4,Inside,3,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,1908,1991,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,2,3,1,1,0.0,1,504.0,504.0,GasA,4,Y,5,936,316,3,1,3,5,8,0,0,Attchd,1986.0,1,2.0,576.0,3,3,3,104,0,3,6,2006,WD ,0.0,1.0
1959,270000,60,FV,75.0,9000,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,1,0.0,1,1088.0,1088.0,GasA,5,Y,5,1088,871,3,1,4,8,8,1,4,Attchd,2006.0,2,3.0,1025.0,3,3,3,208,46,0,12,2007,WD ,0.0,2.5
1092,141000,20,RL,69.0,14850,Pave,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,895.0,1,197.0,1092.0,GasA,3,Y,4,1092,0,2,1,3,6,8,1,3,Attchd,1957.0,3,1.0,299.0,3,3,3,268,0,1,5,2006,WD ,1.0,1.0
2064,235000,20,RL,56.0,18559,Pave,3,Lvl,4,CulDSac,3,NWAmes,Norm,Norm,1Fam,1Story,7,5,1978,1978,Hip,CompShg,Plywood,Plywood,BrkFace,383.0,4,4,CBlock,4,3,1,6,1206.0,3,656.0,2048.0,GasA,3,Y,5,2064,0,3,1,4,7,8,2,2,Attchd,1978.0,3,2.0,550.0,3,3,3,200,0,0,8,2008,WD ,1.0,2.0
2640,256900,60,RL,80.0,10400,Pave,4,Lvl,4,Inside,3,NWAmes,PosA,Norm,1Fam,2Story,6,7,1967,1997,Gable,CompShg,MetalSd,MetalSd,BrkFace,256.0,3,3,PConc,3,3,1,1,0.0,1,932.0,932.0,GasA,4,Y,5,1271,1369,5,1,4,8,8,1,3,Attchd,1967.0,2,2.0,515.0,3,3,3,0,120,0,5,2009,WD ,0.0,2.5
2036,375000,20,RL,150.0,215245,Pave,1,Low,4,Inside,1,Timber,Norm,Norm,1Fam,1Story,7,5,1965,1965,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,4,3,4,5,1236.0,3,80.0,2136.0,GasW,3,Y,5,2036,0,3,1,3,8,8,2,4,Attchd,1965.0,2,2.0,513.0,3,3,3,0,0,0,6,2009,WD ,2.0,2.0
1375,141000,50,RM,50.0,9000,Pave,4,Bnk,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,PConc,3,3,1,1,0.0,1,780.0,780.0,GasA,3,Y,5,780,595,3,1,4,6,8,1,4,Detchd,1979.0,1,1.0,544.0,3,3,2,0,162,0,12,2007,WD ,0.0,1.5
1116,160000,20,RL,87.0,10000,Pave,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,6,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,261.0,3,3,CBlock,3,3,1,1,0.0,1,1116.0,1116.0,GasA,3,Y,5,1116,0,3,1,3,5,8,0,0,Attchd,1962.0,1,2.0,440.0,3,3,3,0,0,0,2,2010,WD ,0.0,1.5
1675,195000,20,RL,67.0,7915,Pave,3,Lvl,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,6,5,1999,2000,Hip,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,2,6,1223.0,1,443.0,1666.0,GasA,5,Y,5,1675,0,3,1,4,6,8,0,0,Attchd,1999.0,2,2.0,435.0,3,3,3,165,52,0,12,2008,WD ,1.0,2.0
1636,255000,20,RL,116.0,13501,Pave,3,Lvl,4,Corner,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,208.0,4,3,PConc,4,3,1,6,63.0,1,1560.0,1623.0,GasA,5,Y,5,1636,0,3,1,4,8,8,1,4,Attchd,2006.0,2,3.0,865.0,3,3,3,0,60,0,6,2007,WD ,1.0,2.0
1474,168500,80,RL,73.0,8530,Pave,3,Lvl,4,Inside,3,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,22.0,3,3,PConc,4,3,1,1,0.0,1,384.0,384.0,GasA,4,Y,5,804,670,3,1,3,7,8,1,3,BuiltIn,1995.0,3,2.0,400.0,3,3,3,120,72,0,5,2009,WD ,0.0,2.5
1078,149900,20,RL,78.0,12537,Pave,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,6,734.0,1,344.0,1078.0,GasA,5,Y,5,1078,0,3,1,3,6,8,1,2,Attchd,1971.0,3,2.0,500.0,3,3,3,0,0,0,4,2010,WD ,1.0,1.5
988,119000,20,RL,60.0,7200,Pave,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,4,534.0,3,246.0,876.0,GasA,3,Y,5,988,0,3,1,3,6,8,0,0,Attchd,1950.0,1,1.0,276.0,3,3,3,0,80,0,5,2007,WD ,0.0,1.0
672,113000,30,RL,50.0,9340,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,4,6,1941,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,3,344.0,1,328.0,672.0,GasA,3,Y,5,672,0,2,1,3,4,8,0,0,Attchd,1941.0,1,1.0,234.0,3,3,1,0,113,0,8,2009,WD ,1.0,1.0
1664,159000,50,RM,50.0,5000,Pave,4,Lvl,4,Corner,3,BrkSide,Feedr,Norm,1Fam,1.5Fin,6,7,1947,1950,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,1,5,399.0,1,605.0,1004.0,GasA,5,Y,5,1004,660,3,1,3,7,8,2,4,Detchd,1950.0,1,2.0,420.0,3,3,3,0,24,0,10,2006,WD ,0.0,2.0
1218,159000,20,RL,80.0,9605,Pave,4,Lvl,4,Corner,3,SawyerW,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,1218.0,1218.0,GasA,5,Y,5,1218,0,3,1,4,6,8,0,0,Detchd,2007.0,2,2.0,576.0,3,3,3,0,178,0,4,2009,WD ,0.0,1.5
1622,168000,190,RL,91.0,32463,Pave,4,Low,4,Inside,2,Mitchel,Norm,Norm,2fmCon,1Story,4,4,1961,1975,Gable,CompShg,MetalSd,MetalSd,Stone,149.0,3,4,CBlock,3,3,3,4,1159.0,1,90.0,1249.0,GasA,5,Y,5,1622,0,3,1,3,7,8,1,3,2Types,1975.0,3,4.0,1356.0,3,3,3,439,0,0,3,2007,WD ,1.0,1.0
900,122000,20,RL,67.0,9819,Pave,3,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,31.0,3,4,CBlock,3,3,1,4,450.0,1,432.0,882.0,GasA,3,Y,5,900,0,3,1,3,5,8,0,0,Detchd,1970.0,1,1.0,280.0,3,3,3,0,0,3,2,2010,WD ,0.0,1.0
1740,122250,50,RM,81.0,7308,Pave,4,Lvl,4,Corner,3,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,3,360.0,1,576.0,936.0,GasA,4,N,4,960,780,2,1,5,6,8,1,4,Detchd,1920.0,1,1.0,225.0,2,2,1,0,0,0,6,2008,WD ,0.0,1.0
1027,120000,30,RM,60.0,5400,Pave,4,Lvl,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,7,6,1920,2006,Gable,CompShg,Stucco,Stucco,None,0.0,4,3,CBlock,3,3,1,1,0.0,1,931.0,931.0,GasA,3,Y,5,1027,0,2,1,4,5,8,1,3,None,0.0,0,0.0,0.0,0,0,1,0,28,0,2,2008,WD ,0.5,1.0
2649,421250,60,RL,130.0,16900,Pave,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1110.0,4,3,PConc,5,3,2,6,1075.0,1,404.0,1479.0,GasA,5,Y,5,1515,1134,4,1,4,10,8,1,3,Attchd,2001.0,3,3.0,746.0,3,3,3,0,60,0,1,2008,WD ,1.0,2.5
1290,106900,70,RM,59.0,5870,Pave,4,Lvl,4,Corner,3,BrkSide,Feedr,Feedr,1Fam,2Story,6,9,1900,2000,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,BrkTil,3,3,1,1,0.0,1,554.0,554.0,GasA,5,Y,5,736,554,3,1,3,6,8,0,0,Detchd,1926.0,1,1.0,200.0,2,3,3,38,112,3,4,2008,WD ,0.0,1.5
1123,100000,50,RM,50.0,6060,Pave,4,Lvl,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,732.0,732.0,GasA,4,Y,5,772,351,3,1,3,4,8,0,0,Detchd,1979.0,1,1.0,264.0,3,3,2,0,0,3,6,2007,WD ,0.0,1.0
985,105000,30,RL,65.0,7898,Pave,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,576.0,576.0,GasA,4,Y,5,985,0,2,1,3,4,8,0,0,Detchd,1989.0,1,2.0,676.0,3,3,1,0,0,0,4,2010,WD ,0.5,1.0
1738,104900,50,RL,65.0,12513,Pave,3,Lvl,4,FR2,3,NAmes,Feedr,Norm,1Fam,1.5Fin,4,4,1920,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,BrkTil,3,2,1,1,0.0,1,715.0,715.0,GasA,4,Y,5,1281,457,4,1,3,7,8,1,4,Attchd,1920.0,1,1.0,368.0,3,3,3,55,0,0,6,2009,WD ,0.0,2.0
1855,187000,80,RL,80.0,9600,Pave,4,Lvl,4,FR2,3,Veenker,Feedr,Norm,1Fam,SLvl,6,7,1976,1994,Hip,CompShg,Plywood,Plywood,BrkFace,360.0,4,4,CBlock,3,3,1,1,0.0,1,528.0,528.0,GasA,5,Y,5,1094,761,3,1,3,7,8,1,3,Attchd,1976.0,2,2.0,512.0,3,3,3,113,100,0,8,2007,WD ,0.0,2.5
1262,181500,20,RL,80.0,9600,Pave,4,Lvl,4,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978.0,1,284.0,1262.0,GasA,5,Y,5,1262,0,3,1,3,6,8,1,3,Attchd,1976.0,2,2.0,460.0,3,3,3,298,0,0,5,2007,WD ,0.5,2.0
1430,187100,20,RL,67.0,16285,Pave,2,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,1413.0,1413.0,GasA,5,Y,5,1430,0,3,1,4,6,8,0,0,Attchd,2001.0,2,2.0,605.0,3,3,3,0,33,0,6,2009,WD ,0.0,2.0
1430,192000,20,RL,95.0,19508,Pave,4,Lvl,4,Inside,3,Veenker,Norm,Norm,1Fam,1Story,6,5,1974,1974,Gable,CompShg,HdBoard,ImStucc,BrkFace,144.0,3,3,CBlock,3,3,3,5,800.0,1,630.0,1430.0,GasA,3,Y,5,1430,0,3,1,3,6,8,2,3,Attchd,1974.0,1,2.0,484.0,3,3,3,117,108,0,7,2008,WD ,0.5,2.0
1492,230000,20,FV,80.0,8000,Pave,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,833.0,1,659.0,1492.0,GasA,5,Y,5,1492,0,3,1,4,6,8,1,4,Attchd,2002.0,2,2.0,596.0,3,3,3,277,137,0,4,2010,WD ,1.0,2.0
1172,128000,20,RL,75.0,9525,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,7,1954,1998,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,3,4,954.0,1,218.0,1172.0,GasA,3,Y,5,1172,0,3,1,3,5,8,0,0,Attchd,1954.0,3,1.0,366.0,3,3,3,240,0,0,6,2010,WD ,1.0,1.0
1247,197000,120,FV,37.0,3316,Pave,3,Lvl,4,Inside,3,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2005,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,1039.0,1,208.0,1247.0,GasA,5,Y,5,1247,0,1,1,4,4,8,1,4,Attchd,2005.0,3,2.0,550.0,3,3,3,0,84,0,4,2006,WD ,1.0,1.5
3672,415000,75,RL,60.0,19800,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,2.5Unf,6,8,1935,1990,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,3,425.0,1,1411.0,1836.0,GasA,4,Y,5,1836,1836,5,1,4,7,8,2,4,Detchd,1993.0,1,2.0,836.0,3,3,3,684,80,0,12,2006,WD ,0.0,3.5
943,135960,90,RL,62.0,7032,Pave,3,Lvl,4,Corner,3,NAmes,Norm,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,6,943.0,1,0.0,943.0,GasA,3,Y,5,943,0,2,1,3,4,8,2,3,Detchd,1979.0,1,2.0,600.0,3,3,3,42,0,0,12,2006,WD ,1.0,1.0
2057,250000,50,RL,86.0,11500,Pave,3,Lvl,4,Inside,3,Crawfor,Norm,Norm,1Fam,1.5Fin,7,7,1936,1987,Gable,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,4,3,1,3,223.0,1,794.0,1017.0,GasA,4,Y,5,1020,1037,3,1,4,6,8,1,4,Attchd,1936.0,3,1.0,180.0,2,3,3,0,0,0,6,2006,WD ,0.0,1.5
1782,296000,20,RL,129.0,16870,Pave,3,Lvl,4,FR3,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,238.0,4,3,PConc,5,3,4,6,1531.0,1,251.0,1782.0,GasA,5,Y,5,1782,0,3,1,4,7,8,2,4,Attchd,2004.0,3,3.0,932.0,3,3,3,99,82,0,4,2009,WD ,1.0,2.0
1788,236500,20,RL,74.0,11838,Pave,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,1,0.0,1,1753.0,1753.0,GasA,5,Y,5,1788,0,3,1,5,7,8,1,3,Attchd,2001.0,2,2.0,522.0,3,3,3,202,151,0,6,2009,WD ,0.0,2.0
1844,223000,20,RL,78.0,16381,Pave,3,Lvl,4,Inside,3,Crawfor,Norm,Norm,1Fam,1Story,6,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,312.0,4,4,CBlock,3,3,3,3,1110.0,1,734.0,1844.0,GasA,4,Y,5,1844,0,3,1,4,7,8,1,3,Attchd,1969.0,2,2.0,540.0,3,3,3,0,73,0,12,2006,WD ,1.0,2.0
2161,230500,60,RL,73.0,10400,Pave,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,227.0,4,3,PConc,4,3,1,1,0.0,1,1257.0,1257.0,GasA,5,Y,5,1290,871,3,1,4,8,8,1,3,Attchd,2001.0,2,2.0,570.0,3,3,3,0,84,0,6,2008,WD ,0.0,2.5
1360,130000,80,RL,60.0,7134,Pave,4,Bnk,4,Inside,2,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,5,384.0,1,0.0,384.0,GasA,3,Y,5,1360,0,3,1,3,6,7,1,3,Detchd,1962.0,1,2.0,572.0,3,3,3,0,50,3,2,2007,WD ,0.0,1.0
902,125500,20,RL,61.0,6173,Pave,3,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,HdBoard,Wd Sdng,BrkFace,75.0,3,3,CBlock,3,3,1,6,599.0,1,277.0,876.0,GasA,3,Y,5,902,0,3,1,3,6,8,0,0,Attchd,1967.0,1,1.0,288.0,3,3,3,0,0,3,8,2007,WD ,0.0,1.0
1256,147500,20,RL,75.0,9937,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,136.0,1256.0,GasA,4,Y,5,1256,0,3,1,3,6,8,0,0,Attchd,1965.0,3,1.0,276.0,3,3,3,736,68,0,6,2008,WD ,1.0,1.5
774,79000,30,RH,70.0,4270,Pave,4,Bnk,4,Inside,2,Edwards,Norm,Norm,1Fam,1Story,3,6,1931,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,3,544.0,1,0.0,544.0,GasA,5,Y,5,774,0,3,1,4,6,8,0,0,None,0.0,0,0.0,0.0,0,0,3,0,0,0,5,2007,WD ,0.0,1.0
987,97000,160,RM,21.0,1680,Pave,4,Lvl,4,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,6,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,425.0,3,3,CBlock,3,3,1,3,110.0,2,79.0,483.0,GasA,3,Y,5,483,504,2,1,3,5,8,0,0,Detchd,1972.0,1,1.0,288.0,3,3,3,0,0,0,7,2009,WD ,1.0,1.5
1360,125500,50,RM,60.0,7200,Pave,4,Lvl,4,Corner,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,6,1938,1995,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,803.0,803.0,GasA,5,Y,5,803,557,2,1,4,6,8,0,0,Detchd,1951.0,1,1.0,297.0,3,3,3,0,65,3,7,2006,WD ,0.0,1.5
1382,176000,80,RL,120.0,19296,Pave,4,Lvl,4,Corner,3,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,3,3,CBlock,3,3,4,3,672.0,5,0.0,1362.0,GasA,3,Y,5,1382,0,3,1,3,6,8,1,3,Attchd,1991.0,1,2.0,884.0,3,3,3,0,0,2,5,2009,WD ,1.0,1.0
540,82000,30,RM,58.0,8154,Pave,4,Lvl,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1Story,2,5,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,4,480.0,1,0.0,480.0,GasA,3,Y,5,540,0,1,1,3,4,8,0,0,Detchd,1951.0,1,1.0,200.0,2,2,1,0,0,0,4,2010,ConLw,0.0,1.0
1142,93000,50,RM,60.0,6000,Pave,4,Lvl,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,444.0,3,3,BrkTil,3,3,1,3,220.0,1,248.0,468.0,GasA,4,Y,5,822,320,3,1,3,6,8,0,0,Attchd,1924.0,3,1.0,320.0,3,3,3,0,0,0,6,2009,WD ,0.0,1.0
1904,138000,50,RL,60.0,7200,Pave,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1.5Fin,5,4,1950,1982,Gable,CompShg,VinylSd,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,180.0,4,676.0,1208.0,GasA,4,Y,4,1136,768,3,1,3,7,7,0,0,Attchd,1950.0,1,1.0,240.0,3,3,3,0,0,4,5,2009,WD ,1.0,1.5
1132,176000,20,RL,60.0,7024,Pave,4,Lvl,4,Inside,3,Edwards,Norm,Norm,1Fam,1Story,4,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,1024.0,1,108.0,1132.0,GasA,5,Y,5,1132,0,2,1,4,5,8,0,0,Attchd,2005.0,3,2.0,451.0,3,3,3,252,64,0,6,2008,WD ,1.0,1.5
1982,208000,80,RL,76.0,13607,Pave,3,Lvl,4,Inside,3,Crawfor,Norm,Norm,1Fam,SLvl,6,6,1986,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,242.0,3,4,CBlock,3,3,1,5,454.0,1,118.0,572.0,GasA,4,Y,5,1182,800,3,1,3,6,8,1,3,BuiltIn,1986.0,3,2.0,501.0,3,3,3,400,112,0,4,2009,WD ,1.0,2.5
864,141000,20,RL,68.0,8499,Pave,3,Lvl,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,6,660.0,1,204.0,864.0,GasA,5,Y,5,864,0,3,1,3,5,8,0,0,Detchd,1982.0,1,2.0,732.0,3,3,3,0,312,0,6,2009,WD ,1.0,1.0
1400,162000,60,RL,78.0,10274,Pave,3,Lvl,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,2Story,6,7,1986,1986,Gable,CompShg,VinylSd,VinylSd,BrkFace,141.0,3,4,CBlock,4,3,1,3,331.0,1,345.0,676.0,GasA,3,Y,5,698,702,3,1,3,6,8,0,0,Attchd,1986.0,2,2.0,465.0,3,3,3,0,48,0,7,2009,WD ,0.0,2.5
1177,151500,20,RL,79.0,11850,Pave,4,Lvl,4,FR2,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1984,1984,Gable,CompShg,Plywood,Plywood,BrkFace,98.0,3,3,CBlock,4,3,1,5,781.0,1,372.0,1153.0,GasA,3,Y,5,1177,0,3,1,4,6,8,0,0,Attchd,1984.0,3,2.0,495.0,3,3,3,204,103,3,8,2007,WD ,0.0,2.0
1564,218836,20,RL,85.0,11058,Pave,4,Lvl,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,212.0,4,3,PConc,4,3,1,6,56.0,1,1508.0,1564.0,GasA,5,Y,5,1564,0,3,1,4,6,8,0,0,Attchd,2007.0,2,3.0,814.0,3,3,3,0,24,0,2,2008,WD ,0.0,2.0
2582,322500,60,RL,74.0,11002,Pave,3,Lvl,4,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,1048.0,1,341.0,1389.0,GasA,5,Y,5,1411,1171,4,1,4,9,8,1,3,Attchd,1998.0,3,3.0,758.0,3,3,3,286,60,0,1,2007,WD ,1.0,2.5
1212,151000,80,RL,88.0,8471,Pave,3,Lvl,4,Corner,3,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977,1995,Gable,CompShg,HdBoard,Plywood,BrkFace,46.0,3,3,CBlock,4,4,3,5,506.0,1,0.0,506.0,GasA,3,Y,5,1212,0,3,1,3,6,8,1,3,Attchd,1978.0,1,2.0,492.0,3,3,3,292,12,2,7,2006,WD ,1.0,1.0
